,pred_vol,intraday_mom,pos,strategy_ret
2021-09-29,4.005798054273597,0.05086549302236976,1,0.05086549302236976
2021-09-30,3.9459799814543346,0.00020787971854874243,1,0.00020787971854874243
2021-10-01,4.039914339487341,0.08938792494264747,1,0.08938792494264747
2021-10-02,4.340563253444674,0.002285852489011475,1,0.002285852489011475
2021-10-03,4.261484591508494,-0.015497162892806449,0,-0.0
2021-10-04,4.1837912595836055,0.038528394036440705,1,0.038528394036440705
2021-10-05,4.119219638922725,0.0452117440843145,1,0.0452117440843145
2021-10-06,4.128374308497736,0.06351599155848864,1,0.06351599155848864
2021-10-07,4.255743311034826,-0.018152730196449474,0,-0.0
2021-10-08,4.233977512272501,0.014025125578659647,1,0.014025125578659647
2021-10-09,4.160791554429121,0.007009564543307478,1,0.007009564543307478
2021-10-10,4.0970814038486285,0.03370562738894267,1,0.03370562738894267
2021-10-11,4.030297584554747,0.004165398095372863,1,0.004165398095372863
2021-10-12,4.04405217175903,-0.007768831391345876,0,-0.0
2021-10-13,4.012871142693503,0.03165723393679354,1,0.03165723393679354
2021-10-14,3.966136152961017,0.02371505631320625,1,0.02371505631320625
2021-10-15,3.8932761975486088,0.037252504521305685,1,0.037252504521305685
2021-10-16,4.0529886055337725,-0.012526105176590696,0,-0.0
2021-10-17,3.9891904387864487,0.009390530516217632,1,0.009390530516217632
2021-10-18,3.9158997583868285,0.007678574763781976,1,0.007678574763781976
2021-10-19,3.8906180351974355,0.02023738398376973,1,0.02023738398376973
2021-10-20,3.87172090091465,0.01892420110656956,1,0.01892420110656956
2021-10-21,3.8266689925290605,-0.028081173354398414,0,-0.0
2021-10-22,3.97268706745163,-0.03199251932809899,0,-0.0
2021-10-23,3.9330370108941906,0.0010499307476850017,1,0.0010499307476850017
2021-10-24,3.8588638077329604,0.020429953962264102,1,0.020429953962264102
2021-10-25,3.793507157055672,0.01066483843625754,1,0.01066483843625754
2021-10-26,3.7751353099265494,-0.03258707470516442,0,-0.0
2021-10-27,3.8220217003751276,-0.030396742360253692,0,-0.0
2021-10-28,3.819930651994875,0.04713980127728257,1,0.04713980127728257
2021-10-29,3.8098959446652807,0.00046700254094789173,1,0.00046700254094789173
2021-10-30,3.783834612671378,0.0032509966875691187,1,0.0032509966875691187
2021-10-31,3.712684960016221,-0.022402050527359663,0,-0.0
2021-11-01,3.6497541757757856,0.019676991175535452,1,0.019676991175535452
2021-11-02,3.591223205398518,0.034718426442115646,1,0.034718426442115646
2021-11-03,3.621203030229448,-0.012751870182089009,0,-0.0
2021-11-04,3.553755282221738,-0.0033849692443634893,0,-0.0
2021-11-05,3.5490439091613535,-0.017289300506260652,0,-0.0
2021-11-06,3.4811899004568345,0.006531076218514897,1,0.006531076218514897
2021-11-07,3.4062418021873877,0.030283728278041044,1,0.030283728278041044
2021-11-08,3.3880781099656554,0.04751403331186155,1,0.04751403331186155
2021-11-09,3.6341264221864624,-0.023655463416063505,0,-0.0
2021-11-10,3.5775337835930365,-0.030058484902779847,0,-0.0
2021-11-11,3.5918234871899397,0.005541156188787255,1,0.005541156188787255
2021-11-12,3.5327404680923844,-0.019736886642718332,0,-0.0
2021-11-13,3.4821044515140227,0.010714831092157207,1,0.010714831092157207
2021-11-14,3.413140436215147,0.004432003910250559,1,0.004432003910250559
2021-11-15,3.3667877696923876,-0.06930373013653657,0,-0.0
2021-11-16,3.3832248919744794,-0.030146314379960182,0,-0.0
2021-11-17,3.5580856715772784,0.004568444383270087,1,0.004568444383270087
2021-11-18,3.491045720809777,-0.05712151967566481,0,-0.0
2021-11-19,3.657572487243915,0.040134640662190524,1,0.040134640662190524
2021-11-20,3.6124986047561682,0.020278285216738023,1,0.020278285216738023
2021-11-21,3.590713355489155,-0.026856045217457658,0,-0.0
2021-11-22,3.5487145544164727,-0.0049824585862028314,0,-0.0
2021-11-23,3.61766732241353,-0.004287674747735726,0,-0.0
2021-11-24,3.5824939199736527,0.012265527695352274,1,0.012265527695352274
2021-11-25,3.5604942060335567,0.009940166243872062,1,0.009940166243872062
2021-11-26,3.517050488118264,-0.05753459795231419,0,-0.0
2021-11-27,3.735087515952299,0.004228985052757039,1,0.004228985052757039
2021-11-28,3.695565540675149,-0.0002009454202933636,0,-0.0
2021-11-29,3.7396672970664233,-0.0016068110644904543,0,-0.0
2021-11-30,3.6806688217308174,-0.003101713137641293,0,-0.0
2021-12-01,3.6289428322729282,-0.009549493525091601,0,-0.0
2021-12-02,3.5675843942925374,0.0016013086404336185,1,0.0016013086404336185
2021-12-03,3.5203178503676513,-0.11161273414536454,0,-0.0
2021-12-04,3.6491029338193113,-0.021704108846715697,0,-0.0
2021-12-05,4.00123585870116,-0.00852393116915473,0,-0.0
2021-12-06,3.9178365537514774,0.03950664243378976,1,0.03950664243378976
2021-12-07,3.8758778668957827,-0.014178308039813348,0,-0.0
2021-12-08,3.803679347056495,-0.008498776825314747,0,-0.0
2021-12-09,3.735446368084373,-0.03334649730406025,0,-0.0
2021-12-10,3.8466843104171033,0.007783550595672928,1,0.007783550595672928
2021-12-11,3.774505452130022,0.01693122803508995,1,0.01693122803508995
2021-12-12,3.8172449203776,-0.0204477412894164,0,-0.0
2021-12-13,3.7517621745113763,-0.04115828959074053,0,-0.0
2021-12-14,3.9140854147083397,0.0264321303221684,1,0.0264321303221684
2021-12-15,3.824217441256818,0.010553265141771906,1,0.010553265141771906
2021-12-16,3.874189705448053,-0.01721366520634071,0,-0.0
2021-12-17,3.836606990800429,-0.03154335271087816,0,-0.0
2021-12-18,3.7841119264488627,0.009247187644914723,1,0.009247187644914723
2021-12-19,3.6993911383926976,0.0064227454205862955,1,0.0064227454205862955
2021-12-20,3.551226967996613,0.03398955113010804,1,0.03398955113010804
2021-12-21,3.229486229388334,0.015663198010664292,0,0.0
2021-12-22,3.2874571063970515,-0.01936804556233407,0,-0.0
2021-12-23,3.2064833214359005,0.05371202413921394,0,0.0
2021-12-24,3.1631751682266276,-0.0011944804412163945,0,-0.0
2021-12-25,3.100362621284992,-0.00962753638017444,0,-0.0
2021-12-26,3.0360952272076314,0.004356321596997725,0,0.0
2021-12-27,3.0648443967612944,-0.038178445546504625,0,-0.0
2021-12-28,2.990377154243853,-0.02576128164363456,0,-0.0
2021-12-29,3.0862174996046687,-0.02237100474436937,0,-0.0
2021-12-30,3.0741828427670965,0.013441762207450081,0,0.0
2021-12-31,3.056244253835281,-0.014023286991586725,0,-0.0
2022-01-01,3.0592127947323666,0.022206827285585984,0,0.0
2022-01-02,3.0855229447744095,-0.009942352327789616,0,-0.0
2022-01-03,3.0818071646417224,-0.015593431283088321,0,-0.0
2022-01-04,2.957147653380236,0.006834036159672152,0,0.0
2022-01-05,2.953453199107094,-0.07300811165330523,0,-0.0
2022-01-06,3.0662742197453245,-0.03185902154805065,0,-0.0
2022-01-07,3.0659424573089225,0.004936406175424457,0,0.0
2022-01-08,3.039049155648147,-0.005134133779602701,0,-0.0
2022-01-09,3.044571545236703,0.00783020708532356,0,0.0
2022-01-10,3.0509332539963228,0.0027676710620216927,0,0.0
2022-01-11,3.0635177438195003,0.007700551993788718,0,0.0
2022-01-12,3.043086160771543,0.023425752171697622,0,0.0
2022-01-13,3.0049215002470824,-0.021335241777284852,0,-0.0
2022-01-14,3.055285417235819,0.0051454426230121975,0,0.0
2022-01-15,3.079344209629342,0.003795249823862701,0,0.0
2022-01-16,3.0955377191394153,-0.011123007306687027,0,-0.0
2022-01-17,3.123562664957518,-0.013271482006396162,0,-0.0
2022-01-18,3.1458370739781696,-0.008129706353047772,0,-0.0
2022-01-19,3.1696333210845453,0.004394167410252781,0,0.0
2022-01-20,2.955294708948946,-0.07273563760370327,0,-0.0
2022-01-21,3.0338096708300584,-0.06567764824017674,0,-0.0
2022-01-22,3.293110459657659,-0.03408961321638748,0,-0.0
2022-01-23,3.305314935870529,-0.03162658530501661,0,-0.0
2022-01-24,3.325494553724745,0.022914604312453735,1,0.022914604312453735
2022-01-25,3.3214221183545987,0.05176279386154925,1,0.05176279386154925
2022-01-26,3.3238866095744823,-0.04951631610095386,0,-0.0
2022-01-27,3.2748239177247767,0.03598229555210364,0,0.0
2022-01-28,3.20086875606942,0.016354652656986435,0,0.0
2022-01-29,3.1224559451329466,0.009115599991650347,0,0.0
2022-01-30,3.1508267643546244,-0.026045383470619576,0,-0.0
2022-01-31,3.0667185891278264,0.04487080018338907,0,0.0
2022-02-01,2.7941865581529934,-0.00355098760951833,0,-0.0
2022-02-02,2.765146810794044,-0.0394055787152956,0,-0.0
2022-02-03,2.887610417867105,0.010995510477988635,0,0.0
2022-02-04,2.8813216723282244,0.11185044130724786,0,0.0
2022-02-05,3.2984959202991426,-0.0021725509097482165,0,-0.0
2022-02-06,3.291411148411608,0.010372635585983003,0,0.0
2022-02-07,3.298303236058992,0.03646657953696786,0,0.0
2022-02-08,3.3056279375923237,-0.02061064026611925,0,-0.0
2022-02-09,3.313434180054336,0.007449203184960673,0,0.0
2022-02-10,3.320265199490006,-0.016158444758819,0,-0.0
2022-02-11,3.32192144481398,-0.018750156547004515,0,-0.0
2022-02-12,3.3189714699122117,-0.0018672620735279422,0,-0.0
2022-02-13,3.321076569038829,-0.002698028035162725,0,-0.0
2022-02-14,3.3247799049792452,0.03594268915010512,1,0.03594268915010512
2022-02-15,3.3177770962508677,0.010059954051325315,1,0.010059954051325315
2022-02-16,3.3334592203599755,-0.006497063242726364,0,-0.0
2022-02-17,3.200204078569575,-0.0710138152754003,0,-0.0
2022-02-18,3.3615313200824,-0.006943251912163939,0,-0.0
2022-02-19,3.360290122510141,-0.0036436059002313836,0,-0.0
2022-02-20,3.3543117515704814,0.024053813952967573,1,0.024053813952967573
2022-02-21,3.237539905532013,-0.06915294105064285,0,-0.0
2022-02-22,3.3483352803716513,0.036473249570739386,1,0.036473249570739386
2022-02-23,3.3622756875707025,-0.07719928139505272,0,-0.0
2022-02-24,3.360782851424517,0.10368029125549816,1,0.10368029125549816
2022-02-25,3.3585077569372386,0.016283621573249807,1,0.016283621573249807
2022-02-26,3.354991525480291,-0.005985754878664484,0,-0.0
2022-02-27,3.345941238064515,0.0025226320907432154,1,0.0025226320907432154
2022-02-28,3.344563215145536,0.1463743527329291,1,0.1463743527329291
2022-03-01,3.472608028376156,0.02091142887577946,1,0.02091142887577946
2022-03-02,3.4658537078523524,-0.019000564525234354,0,-0.0
2022-03-03,3.4562158308779405,-0.0474578970968309,0,-0.0
2022-03-04,3.4515325900603493,-0.060608726100319865,0,-0.0
2022-03-05,3.4841672418347027,0.013611917077252844,1,0.013611917077252844
2022-03-06,3.482530203870248,-0.01280973448015732,0,-0.0
2022-03-07,3.528438218975196,0.016107676868195364,1,0.016107676868195364
2022-03-08,3.517279120637659,0.07948423231836421,1,0.07948423231836421
2022-03-09,3.5104977197245133,-0.05031063206663944,0,-0.0
2022-03-10,3.5559846792980467,-0.027156463959980726,0,-0.0
2022-03-11,3.5762023662543734,0.01568181105247879,1,0.01568181105247879
2022-03-12,3.5653872356325325,-0.007676169155933388,0,-0.0
2022-03-13,3.5533153661116335,0.009920326107096589,1,0.009920326107096589
2022-03-14,3.5476011521490727,0.016082203169055065,1,0.016082203169055065
2022-03-15,3.556769505945077,0.010379458067391711,1,0.010379458067391711
2022-03-16,3.5463002118256877,0.04850750463482467,1,0.04850750463482467
2022-03-17,3.5503736234191057,-0.011810214855015766,0,-0.0
2022-03-18,3.5417602317293393,0.031157693317732882,1,0.031157693317732882
